genus_species,Order,Suborder,Family,Subfamily,Genus,Species,mod_tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Aglyptodactylus_madagascariensis,Anura,Neobatrachia,Mantellidae,NA,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,43.9,9.1,2.087759478663449,6,6.3,6.15,4.9,4.7,4.800000000000001,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Aglyptodactylus_madagascariensis,Anura,Neobatrachia,Mantellidae,NA,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,50.1,13.3,2.369284502156768,7.8,7.3,7.55,6.1,5.3,5.699999999999999,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Aglyptodactylus_madagascariensis,Anura,Neobatrachia,Mantellidae,NA,Aglyptodactylus,madagascariensis,Aglyptodactylus_madagascariensis_Mantellidae,33.9,3.5,1.5182944859378311,4.8,4.8,4.8,4.3,4.2,4.25,Subfossorial,NA,Lentic water,Free-living larvae,Lentic water,Present
Allobates_femoralis,Anura,Neobatrachia,Aromobatidae,NA,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,29.1,2.9,1.4260431471424087,4.8,4.8,4.8,4.4,4.6,4.5,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allobates_femoralis,Anura,Neobatrachia,Aromobatidae,NA,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,20.9,1,1,3.8,3.7,3.75,3.4,3.3,3.3499999999999996,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allobates_femoralis,Anura,Neobatrachia,Aromobatidae,NA,Allobates,femoralis,Allobates_femoralis_Dendrobatidae,26.8,2.4,1.338865900164339,3.9,3.7,3.8,3,3,3,Ground-dwelling,Diurnal,Ground,Free-living larvae,Lentic water,Absent
Allophryne_ruthveni,Anura,Neobatrachia,Allophrynidae,NA,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,22.8,0.8,0.9283177667225558,3,2.8,2.9,2.6,2.2,2.4000000000000004,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
Allophryne_ruthveni,Anura,Neobatrachia,Allophrynidae,NA,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,26,1.4,1.1186889420813968,3.6,3.6,3.6,2.6,2.6,2.6,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
Allophryne_ruthveni,Anura,Neobatrachia,Allophrynidae,NA,Allophryne,ruthveni,Allophryne_ruthveni_Allophrynidae,22.5,0.8,0.9283177667225558,3.2,3,3.1,2.4,2.3,2.3499999999999996,Scansorial,Nocturnal,Plants,Free-living larvae,NA,Absent
Altiphrynoides_osgoodi,Anura,Neobatrachia,Bufonidae,NA,Altiphrynoides,osgoodi,Altiphrynoides_osgoodi_Bufonidae,48,9.7,2.1326712355058866,5.1,4.8,4.949999999999999,3.7,3.8,3.75,Ground-dwelling,Nocturnal,Ground,Free-living larvae,Lentic water,Absent
